did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
2,1,2_BA31post,1,0.680167625,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
2,1,2_BA32,1,0.567438063,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
2,1,2_BA31ant,1,0.456862813,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
2,10,2_BA32,6,0.534999375,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
2,10,2_BA31ant,6,0.461402625,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
2,10,2_BA31post,6,0.504249125,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
2,11,2_BA32,1,0.833937188,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
2,11,2_BA31post,1,0.531375313,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
2,11,2_BA31ant,1,0.573933125,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
2,13,2_BA32,0,0.44148875,Java,0,0,0,0,0,0,0,0,67.0195,11.25,1944.87,155.809,40,20,108.048,172.877,108.382,63.381,80.7625,47.2295,1,0,0,0,0,0,0,0,0,0,9,9,7,1
