did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
1,1,1_confidence,1,3.46341463414634,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
1,1,1_difficulty,1,3.17073170731707,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
1,10,1_difficulty,6,3.63414634146341,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
1,10,1_confidence,6,3.58536585365854,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
1,11,1_confidence,1,3.31707317073171,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
1,11,1_difficulty,1,3.09756097560976,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
1,12,1_difficulty,3,3.34146341463415,Java,0,0,0,0,0,0,0,0,164.202,23.0769,8598.53,419.71,71,38,477.696,372.603,100.677,58.8757,69.8514,40.8488,3,2,2,0,0,0,0,0,0,0,11,11,11,1
1,12,1_confidence,3,3.34146341463415,Java,0,0,0,0,0,0,0,0,164.202,23.0769,8598.53,419.71,71,38,477.696,372.603,100.677,58.8757,69.8514,40.8488,3,2,2,0,0,0,0,0,0,0,11,11,11,1
1,13,1_difficulty,0,3.73170731707317,Java,0,0,0,0,0,0,0,0,67.0195,11.25,1944.87,155.809,40,20,108.048,172.877,108.382,63.381,80.7625,47.2295,1,0,0,0,0,0,0,0,0,0,9,9,7,1
1,13,1_confidence,0,3.65853658536585,Java,0,0,0,0,0,0,0,0,67.0195,11.25,1944.87,155.809,40,20,108.048,172.877,108.382,63.381,80.7625,47.2295,1,0,0,0,0,0,0,0,0,0,9,9,7,1
1,14,1_confidence,1,3.51219512195122,Java,0,0,0,0,0,0,0,0,120.768,18.6667,4671.36,279.445,51,30,259.52,250.251,110.299,64.5026,83.6312,48.9072,2,1,1,0,0,0,0,0,0,0,7,7,7,1
1,14,1_difficulty,1,3.48780487804878,Java,0,0,0,0,0,0,0,0,120.768,18.6667,4671.36,279.445,51,30,259.52,250.251,110.299,64.5026,83.6312,48.9072,2,1,1,0,0,0,0,0,0,0,7,7,7,1
1,15,1_difficulty,9,1.1,Java,0,0,0,0,0,0,0,0,277.632,20.1143,18654.6,703.381,159,57,1036.37,927.43,86.3915,50.5214,49.5467,28.9747,6,3,3,0,0,0,0,0,0,0,19,19,22,1
