did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
1,1,1_time,1,55.816,Java,0,0,0,0,0,0,0,0,93.4869,14.875,2694.02,193.613,39,25,149.668,181.11,107.91,63.105,80.1834,46.8909,2,1,1,0,0,0,0,0,0,0,9,9,6,1
1,10,1_time,6,40.9,Java,0,0,0,0,0,0,0,0,92.5293,23.1111,7727.38,390.86,72,25,429.299,334.358,100.321,58.667,69.7439,40.7859,7,3,1,0,0,0,0,0,0,0,11,12,9,1
1,11,1_time,1,67.271,Java,0,0,0,0,0,0,0,0,102.706,15.3,3419.24,226.962,47,27,189.958,223.48,106.816,62.4658,78.6064,45.9687,2,1,1,0,0,0,0,0,0,0,9,9,8,1
1,12,1_time,3,44.987,Java,0,0,0,0,0,0,0,0,164.202,23.0769,8598.53,419.71,71,38,477.696,372.603,100.677,58.8757,69.8514,40.8488,3,2,2,0,0,0,0,0,0,0,11,11,11,1
1,13,1_time,0,32.803,Java,0,0,0,0,0,0,0,0,67.0195,11.25,1944.87,155.809,40,20,108.048,172.877,108.382,63.381,80.7625,47.2295,1,0,0,0,0,0,0,0,0,0,9,9,7,1
1,14,1_time,1,41.403,Java,0,0,0,0,0,0,0,0,120.768,18.6667,4671.36,279.445,51,30,259.52,250.251,110.299,64.5026,83.6312,48.9072,2,1,1,0,0,0,0,0,0,0,7,7,7,1
1,15,1_time,9,360.19,Java,0,0,0,0,0,0,0,0,277.632,20.1143,18654.6,703.381,159,57,1036.37,927.43,86.3915,50.5214,49.5467,28.9747,6,3,3,0,0,0,0,0,0,0,19,19,22,1
1,16,1_time,0,19.437,Java,0,0,0,0,0,0,0,0,87.1327,10,1604.74,137.068,35,24,89.152,160.474,115.337,67.4487,90.7974,53.0979,1,0,0,0,0,0,0,0,0,0,6,6,4,1
1,17,1_time,4,93.798,Java,0,0,0,0,0,0,0,0,138.974,15,6868.07,361.318,90,34,381.56,457.872,94.5813,55.3107,61.0566,35.7056,3,1,1,0,0,0,0,0,0,0,15,15,11,1
1,18,1_time,7,122.32,Java,0,0,0,0,0,0,0,0,186.211,30.875,16815.3,656.351,101,42,934.182,544.624,88.5586,51.7887,52.5714,30.7435,5,2,2,0,0,0,0,0,0,0,20,20,19,1
1,19,1_time,3,119.203,Java,0,0,0,0,0,0,0,0,212.183,29.9667,15724.7,627.655,95,46,873.592,524.738,98.897,57.8345,67.2828,39.3467,3,2,2,0,0,0,0,0,0,0,11,11,11,1
1,2,1_time,5,85.78,Java,0,0,0,0,0,0,0,0,135.258,23.625,10129.8,468.166,85,33,562.765,428.773,94.6928,55.3759,61.3192,35.8592,4,2,2,0,0,0,0,0,0,0,15,15,13,1
1,20,1_time,4,77.472,Java,0,0,0,0,0,0,0,0,140.344,17.7692,4972.02,291.31,55,34,276.223,279.81,100.757,58.9223,69.9664,40.916,3,2,2,0,0,0,0,0,0,0,12,12,8,1
1,21,1_time,2,78.104,Java,0,0,0,0,0,0,0,0,167.149,20,9408.02,445.655,89,39,522.668,470.401,101.009,59.0699,70.3305,41.1289,3,1,1,0,0,0,0,0,0,0,10,11,11,1
1,22,1_time,2,81.43,Java,0,0,0,0,0,0,0,0,191.155,20.1389,8195.92,406.504,75,43,455.329,406.97,101.993,59.6448,94.162,55.0655,2,1,1,0,0,0.0909091,1,0,0.0909091,1,10,10,7,1
1,23,1_time,2,48.069,Java,0,0,0,0,0,0,0,0,145.042,18,5816.61,323.43,63,35,323.145,323.145,111.237,65.0511,85.0862,49.758,3,1,1,0,0,0,0,0,0,0,6,6,9,1
1,3,1_time,5,122.281,Java,0,0,0,0,0,0,0,0,83.6515,28.5714,7883.92,396.121,61,23,437.996,275.937,95.9392,56.1048,63.1174,36.9107,4,2,2,0,0,0,0,0,0,0,16,16,11,2
1,4,1_time,7,130.61,Java,0,0,0,0,0,0,0,0,167.594,26.5294,13601.2,569.795,97,39,755.622,512.684,94.651,55.3515,61.3608,35.8835,5,3,3,0,0,0,0,0,0,0,14,14,15,1
1,5,1_time,5,204.201,Java,0,0,0,0,0,0,0,0,214.45,22.9048,11577.6,511.775,91,47,643.201,505.468,91.8094,53.6897,57.1594,33.4266,4,3,2,0,0,0,0,0,0,0,17,17,12,1
1,6,1_time,1,59.751,Java,0,0,0,0,0,0,0,0,92.5293,14.2222,2707.88,194.276,41,25,150.438,190.398,111.721,65.3338,85.6819,50.1064,2,1,1,0,0,0,0,0,0,0,7,7,7,1
1,7,1_time,3,50.132,Java,0,0,0,0,0,0,0,0,123.73,18.2083,5051.63,294.411,56,31,280.646,277.435,107.37,62.7895,79.5068,46.4952,3,2,2,0,0,0,0,0,0,0,8,8,8,1
1,8,1_time,1,88.009,Java,0,0,0,0,0,0,0,0,108.278,15.3,3236.31,218.793,44,28,179.795,211.524,107.102,62.633,79.0189,46.2099,2,1,1,0,0,0,0,0,0,0,9,10,6,1
1,9,1_time,3,57.237,Java,0,0,0,0,0,0,0,0,130.292,17.1818,4209.55,260.71,49,32,233.864,245,102.858,60.1506,72.9967,42.6881,3,2,2,0,0,0,0,0,0,0,11,11,9,1
10,1,10_duration,2,24.1035,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,27,18,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,9,0,0
10,10,10_duration,3,9.933,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,13,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,7,7,0,0
10,100,10_duration,0,6.697,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,9,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
